codigo,cirugia,rvu,especialidad,grupo
01800,"Anesthesia for all procedures on integumentary system of forearm, wrist, and hand",3,Anestesia,Antebrazo muñeca y mano
01810,"Anesthesia for procedures on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand",3,Anestesia,Antebrazo muñeca y mano
01820,"Anesthesia for all closed procedures on radius, ulna, wrist, or hand bones",3,Anestesia,Antebrazo muñeca y mano
01830,"Anesthesia for open procedures on radius, ulna, wrist, or hand bones; not otherwise specified",3,Anestesia,Antebrazo muñeca y mano
01832,"total wrist replacement",6,Anestesia,Antebrazo muñeca y mano
01840,"Anesthesia for procedures on arteries of forearm, wrist, and hand; not otherwise specified",6,Anestesia,Antebrazo muñeca y mano
01842,"embolectomy",6,Anestesia,Antebrazo muñeca y mano
01844,"Anesthesia for vascular shunt, or shunt revision, any type (eg, dialysis)",6,Anestesia,Antebrazo muñeca y mano
01850,"Anesthesia for procedures on veins of forearm, wrist, and hand; not otherwise specified",3,Anestesia,Antebrazo muñeca y mano
01852,"phleborrhaphy",4,Anestesia,Antebrazo muñeca y mano
01860,"Anesthesia for forearm, wrist, or hand cast application, removal, or repair",3,Anestesia,Antebrazo muñeca y mano
