codigo,cirugia,rvu,especialidad,grupo
01600,"Anesthesia for all procedures on integumentary system of shoulder and axilla",3,Anestesia,Hombro y axila
01610,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of shoulder and axilla",5,Anestesia,Hombro y axila
01620,"Anesthesia for all closed procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint",4,Anestesia,Hombro y axila
01622,"Anesthesia for arthroscopic procedures of shoulder joint",4,Anestesia,Hombro y axila
01630,"Anesthesia for open procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; not otherwise specified",5,Anestesia,Hombro y axila
01632,"radical resection",6,Anestesia,Hombro y axila
01634,"shoulder disarticulation",9,Anestesia,Hombro y axila
01636,"interthoracoscapular (forequarter) amputation",15,Anestesia,Hombro y axila
01638,"total shoulder replacement",10,Anestesia,Hombro y axila
01650,"Anesthesia for procedures on arteries of shoulder and axilla; not otherwise specified",6,Anestesia,Hombro y axila
01652,"axillary-brachial aneurysm",10,Anestesia,Hombro y axila
01654,"bypass graft",8,Anestesia,Hombro y axila
01656,"axillary-femoral bypass graft",10,Anestesia,Hombro y axila
01670,"Anesthesia for all procedures on veins of shoulder and axilla",4,Anestesia,Hombro y axila
01680,"Anesthesia for shoulder cast application, removal or repair; not otherwise specified",3,Anestesia,Hombro y axila
01682,"shoulder spica",4,Anestesia,Hombro y axila
