codigo,cirugia,rvu,especialidad,grupo
01460,"Anesthesia for all procedures on integumentary system of lower leg, ankle, and foot",3,Anestesia,Pierna inferior
01462,"Anesthesia for all closed procedures on lower leg, ankle, and foot",3,Anestesia,Pierna inferior
01464,"Anesthesia for arthroscopic procedures of ankle joint",3,Anestesia,Pierna inferior
01470,"Anesthesia for procedures on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot; not otherwise specified",3,Anestesia,Pierna inferior
01472,"repair of ruptured Achilles tendon, with or without graft",5,Anestesia,Pierna inferior
01474,"gastrocnemius recession (eg, Strayer procedure)",5,Anestesia,Pierna inferior
01480,"Anesthesia for open procedures on bones of lower leg, ankle, and foot; not otherwise specified",3,Anestesia,Pierna inferior
01482,"radical resection",4,Anestesia,Pierna inferior
01484,"osteotomy or osteoplasty of tibia and/or fibula",4,Anestesia,Pierna inferior
01486,"total ankle replacement",7,Anestesia,Pierna inferior
01490,"Anesthesia for lower leg cast application, removal, or repair",3,Anestesia,Pierna inferior
01500,"Anesthesia for procedures on arteries of lower leg, including bypass graft; not otherwise specified",8,Anestesia,Pierna inferior
01502,"embolectomy, direct or catheter",6,Anestesia,Pierna inferior
01520,"Anesthesia for procedures on veins of lower leg; not otherwise specified",3,Anestesia,Pierna inferior
01522,"venous thrombectomy, direct or catheter",5,Anestesia,Pierna inferior
