codigo,cirugia,rvu,especialidad,grupo
01900,"Anesthesia for injection procedure for hysterosalpingography",3,Anestesia,Radiological
01902,"Anesthesia for burr hole(s) for ventriculography",9,Anestesia,Radiological
01904,"Anesthesia for injection procedure for pneumoencephalography",7,Anestesia,Radiological
01906,"Anesthesia for injection procedure for myelography; lumbar",5,Anestesia,Radiological
01908,"cervical",5,Anestesia,Radiological
01910,"posterior fossa",9,Anestesia,Radiological
01912,"Anesthesia for injection procedure for diskography; lumbar",5,Anestesia,Radiological
01914,"cervical",6,Anestesia,Radiological
01916,"Anesthesia for arteriograms, needle; carotid, or vertebral",5,Anestesia,Radiological
01918,"retrograde, brachial or femoral",5,Anestesia,Radiological
