codigo,cirugia,rvu,especialidad,grupo
01300,"Anesthesia for all procedures on integumentary system of knee and/or popliteal area",3,Anestesia,Rodilla y Politeal
01320,"Anesthesia for all procedures on nerves, muscles, tendons, fascia, and bursae of knee and/or popliteal area",4,Anestesia,Rodilla y Politeal
01340,"Anesthesia for all closed procedures on lower 1/3 of femur",4,Anestesia,Rodilla y Politeal
01360,"Anesthesia for all open procedures on lower 1/3 of femur",5,Anestesia,Rodilla y Politeal
01380,"Anesthesia for all closed procedures on knee joint",3,Anestesia,Rodilla y Politeal
01382,"Anesthesia for arthroscopic procedures of knee joint",3,Anestesia,Rodilla y Politeal
01390,"Anesthesia for all closed procedures on upper ends of tibia, fibula, and/or patella",3,Anestesia,Rodilla y Politeal
01392,"Anesthesia for all open procedures on upper ends of tibia, fibula, and/or patella",3,Anestesia,Rodilla y Politeal
01400,"Anesthesia for open procedures on knee joint; not otherwise specified",4,Anestesia,Rodilla y Politeal
01402,"total knee replacement",7,Anestesia,Rodilla y Politeal
01404,"disarticulation at knee",5,Anestesia,Rodilla y Politeal
01420,"Anesthesia for all cast applications, removal, or repair involving knee joint",3,Anestesia,Rodilla y Politeal
01430,"Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified",3,Anestesia,Rodilla y Politeal
01432,"arteriovenous fistula",6,Anestesia,Rodilla y Politeal
01440,"Anesthesia for procedures on arteries of knee and popliteal area; not otherwise specified",5,Anestesia,Rodilla y Politeal
01442,"popliteal thromboendarterectomy, with or without patch graft",8,Anestesia,Rodilla y Politeal
01444,"popliteal excision and graft or repair for occlusion or aneurysm",8,Anestesia,Rodilla y Politeal
