codigo,cirugia,rvu,especialidad,grupo
23930, I&D UPPER ARM/ELBOW AREA; DEEP ABSCESS/HEMATOMA ,2,Ortopedia,Brazo
23931 ,I&D UPPER ARM/ELBOW AREA; INFEC BURSA ,2,Ortopedia,Brazo 
23935 ,INCS DEEP W/OP BONE CORTEX HUMERUS/ELBOW ,3.9,Ortopedia,Brazo 
24000 ,ARTHROTOMY ELBOW-INFEC W/EXPLOR/DRAIN/REMOV FIB ,5.4 ,Ortopedia,Brazo
24006 ,ARTHROTOMY ELBOW W/CAPSULAR EXC (SEPART PROC) ,5.4 ,Ortopedia,Brazo
24065 ,BX SOFT TISS UPPER ARM/ELBOW AREA; SUPERF ,0.7 ,Ortopedia,Brazo
24066 ,BX SOFT TISS UPPER ARM/ELBOW AREA; DEEP ,2 ,Ortopedia,Brazo
24075 ,EXC TUMOR UPPER ARM/ELBOW AREA; SUBQ ,1.5 ,Ortopedia,Brazo
24076 ,EXC TUMOR UPPER ARM/ELBOW; DEEP/SUBFACIAL/IM ,2.9 ,Ortopedia,Brazo
24077 ,RAD RESECT TUMOR SOFT TISS UP ARM/ELBOW AREA ,9.8 ,Ortopedia,Brazo
24100 ,ARTHROTOMY ELBOW; SYNOVIAL BX ONLY ,4.4 ,Ortopedia,Brazo
24101 ,ARTHROTOMY ELBOW; W/JT EXPLOR W/WO BX-REMOV FIB ,5.4 ,Ortopedia,Brazo
24102 ,ARTHROTOMY ELBOW; SYNOVECTOMY ,7.8 ,Ortopedia,Brazo
24105 ,EXC OLECRANON BURSA ,2.7 ,Ortopedia,Brazo
24110 ,EXC/CURET BONE CYST/BEN TUMOR HUMERUS ,6.3,Ortopedia,Brazo 
24115, EXC/CURET BONE CYST/BEN TUMOR HUMERUS; W/AUTOGFT ,8.3 ,Ortopedia,Brazo
24116 ,EXC/CURET BONE CYST/BEN TUMOR HUMERUS; W/ALLOGFT ,7 ,Ortopedia,Brazo
24120 ,EXC/CURET BONE CYST/BEN TUMOR-HEAD/NECK RADIUS ,5.3 ,Ortopedia,Brazo
24125 ,EXC/CURET BONE CYST-HEAD/NECK RADIUS; W/AUTOGFT ,6.7 ,Ortopedia,Brazo
24126 ,EXC/CURET BONE CYST-HEAD/NECK RADIUS; W/ALLOGFT ,6 ,Ortopedia,Brazo
24130 ,EXC RADIAL HEAD ,5.3 ,Ortopedia,Brazo
24134 ,SEQUESTRECTOMY SHAFT/DISTAL HUMERUS ,5.9,Ortopedia,Brazo 
24136 ,SEQUESTRECTOMY RADIAL HEAD/NECK ,5.9 ,Ortopedia,Brazo
24138 ,SEQUESTRECTOMY OLECRANON PROCESS ,5.9 ,Ortopedia,Brazo
24140 ,PART EXC BONE HUMERUS ,5.9 ,Ortopedia,Brazo
24145 ,PART EXC BONE RADIAL HEAD/NECK ,4.4 ,Ortopedia,Brazo
24147 ,PART EXC BONE OLECRANON PROCESS ,4 ,Ortopedia,Brazo
24150 ,RADICAL RESECT TUMOR SHAFT/DISTAL HUMERUS ,8.3 ,Ortopedia,Brazo
24151 ,RAD RESECT TUMOR SHAFT/DISTAL HUMERUS; W/AUTOGFT ,12.3 ,Ortopedia,Brazo
24152 ,RADICAL RESECT TUMOR RADIAL HEAD/NECK ,10.8 ,Ortopedia,Brazo
24153 ,RAD RESECT TUMOR RADIAL HEAD/NECK; W/AUTOGFT ,12.3 ,Ortopedia,Brazo
24155 ,RESECT ELBOW JT ,7.6 ,Ortopedia,Brazo
24160 ,IMPLNT REMOV; ELBOW JT ,4 ,Ortopedia,Brazo
24164 ,IMPLNT REMOV; RADIAL HEAD ,2.7 ,Ortopedia,Brazo
24200 ,REMOV F B UPPER ARM/ELBOW AREA; SUBQ ,0.6 ,Ortopedia,Brazo
24201 ,REMOV F B UPPER ARM/ELBOW AREA; DEEP,2 ,Ortopedia,Brazo
24220 ,INJ PROC ELBOW ARTHROGRAPHY ,0.5,Ortopedia,Brazo
24301 ,MUSCL/TENDON TRANSF UPPER ARM/ELBOW SNGL ,6.9 ,Ortopedia,Brazo
24305 ,TENDON LENGTHENING UPPER ARM/ELBOW SNGL EA ,2.9 ,Ortopedia,Brazo
24310 ,TENOTOMY OP ELBOW TO SHOULDER SNGL EA ,3.3 ,Ortopedia,Brazo
24320, TENOPLASTY W/MUSCL TRANSF W/WO GFT ELBO-SHLDR 1 ,7.8 ,Ortopedia,Brazo
24330 ,FLEXOR-PLASTY ELBOW ,5.9 ,Ortopedia,Brazo
24331 ,FLEXOR-PLASTY ELBOW; W/EXTENSOR ADVANCEMENT ,7.8,Ortopedia,Brazo 
24340 ,TENODESIS RUPT BICEPS TENDON @ ELBOW ,6.7 ,Ortopedia,Brazo
24342, REINSERT RUPT BICEPS TENDON DISTAL W/WO GFT ,9.3 ,Ortopedia,Brazo
24350 ,FASCIOTOMY LAT/MEDIAL ,2.7 ,Ortopedia,Brazo
24351 ,FASCIOTOMY LAT/MED; W/EXTENSOR ORIGIN DETACHMNT ,3.3,Ortopedia,Brazo 
24352 ,FASCIOTOMY LAT/MED; W/ANNULAR LIGAMNT RESECT ,4 ,Ortopedia,Brazo
24354 ,FASCIOTOMY LAT/MEDIAL; W/STRIPPING ,3.9 ,Ortopedia,Brazo
24356 ,FASCIOTOMY LAT/MEDIAL; W/PART OSTECTOMY ,4.9 ,Ortopedia,Brazo
24360 ,ARTHROPLASTY ELBOW; W/MEMBRN ,10.8 ,Ortopedia,Brazo
24361 ,ARTHROPLASTY ELBOW; W/DISTAL HUMERAL PROSTH REPL ,10.8,Ortopedia,Brazo 
24362 ,ARTHROPLASTY ELBOW; W/IMPLNT & LIGMNT RECON ,10.8 ,Ortopedia,Brazo
24363 ,ARTHROPLASTY ELBOW; W/"TOTAL ELBOW" REPLAC ,16.2 ,Ortopedia,Brazo
24365 ,ARTHROPLASTY RADIAL HEAD ,4.4 ,Ortopedia,Brazo
24366 ,ARTHROPLASTY RADIAL HEAD; W/IMPLNT ,6.7 ,Ortopedia,Brazo
24400 ,OSTEOTOMY HUMERUS W/WO INT FIXA ,6.7 ,Ortopedia,Brazo
24410, MX OSTEOTOMIES W/REALIGN INTRAMEDUL ROD HUMERAL ,7.8 ,Ortopedia,Brazo
24420 ,OSTEOPLASTY HUMERUS ,7.8 ,Ortopedia,Brazo
24430 ,REPR NONUNION/MALUNION HUMERUS; WO GFT ,8.4,Ortopedia,Brazo 
24435 ,REPR NON-MALUNION HUMERUS; W/ILIAC/OTHER AUTOGFT ,11.6 ,Ortopedia,Brazo
24470 ,HEMIEPIPHYSEAL ARREST ,7.6 ,Ortopedia,Brazo
24495 ,DECOMPRESS FASCIOTOMY FOREARM W/BRACH ART EXPLOR ,5.9,Ortopedia,Brazo 
24498 ,PROPHYLACTIC TX W/WO METHYLMETHACRYLATE HUMERUS ,7.8 ,Ortopedia,Brazo
24500 ,CLO TX HUMERAL SHAFT FX; WO MANIP ,1.3 ,Ortopedia,Brazo
24505 ,CLO TX HUMERAL SHAFT FX; W/MANIP W/WO TRACTION ,3.3 ,Ortopedia,Brazo
24515 ,OP TX HUMERAL FX W/PLATE/SCREWS W/WO CERCLAGE ,7.2 ,Ortopedia,Brazo
24516 ,OP TX HUMERAL FX W/INSRT IMPLNT W/WO CERCLAGE ,7.8 ,Ortopedia,Brazo
24530 ,CLO TX SUPRA TRANSCONDYLAR HUMERAL FX; WO MANIP ,1.2 ,Ortopedia,Brazo
24535 ,CLO TX SUPRACONDYL HUMERAL FX; W/MANIP W/WO TRAC ,3.4 ,Ortopedia,Brazo
24538 ,PERCUT FIXA SUPRACONDYL HUMER FX W/WO INTERCONDY ,6.7 ,Ortopedia,Brazo
